Country Code,Country Name,Region,Income Group,Gender,Year,Life Expectancy
MMR,Myanmar,East Asia & Pacific,Lower middle income,Male,1960,39.872
MNA,Middle East & North Africa (excluding high income),,,Male,1960,46.04657691
MNE,Montenegro,Europe & Central Asia,Upper middle income,Male,1960,62.51
MNG,Mongolia,East Asia & Pacific,Lower middle income,Male,1960,46.161
MNP,Northern Mariana Islands,East Asia & Pacific,High income,Male,1960,
MOZ,Mozambique,Sub-Saharan Africa,Low income,Male,1960,33.692
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,Male,1960,43.067
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,Male,1960,56.954
MWI,Malawi,Sub-Saharan Africa,Low income,Male,1960,37.239
MYS,Malaysia,East Asia & Pacific,Upper middle income,Male,1960,58.669
NAC,North America,,,Male,1960,66.75254643
NAM,Namibia,Sub-Saharan Africa,Upper middle income,Male,1960,44.758
NCL,New Caledonia,East Asia & Pacific,High income,Male,1960,56.2
NER,Niger,Sub-Saharan Africa,Low income,Male,1960,34.547
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Male,1960,35.575
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,Male,1960,45.712
NLD,Netherlands,Europe & Central Asia,High income,Male,1960,71.5
NOR,Norway,Europe & Central Asia,High income,Male,1960,71.34
NPL,Nepal,South Asia,Low income,Male,1960,35.044
NRU,Nauru,East Asia & Pacific,Upper middle income,Male,1960,
NZL,New Zealand,East Asia & Pacific,High income,Male,1960,68.7
OED,OECD members,,,Male,1960,64.59476052
OMN,Oman,Middle East & North Africa,High income,Male,1960,41.87
OSS,Other small states,,,Male,1960,49.32257207
PAK,Pakistan,South Asia,Lower middle income,Male,1960,45.105
PAN,Panama,Latin America & Caribbean,Upper middle income,Male,1960,59.87
PER,Peru,Latin America & Caribbean,Upper middle income,Male,1960,46.455
PHL,Philippines,East Asia & Pacific,Lower middle income,Male,1960,56.609
PLW,Palau,East Asia & Pacific,High income,Male,1960,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Male,1960,40.303
POL,Poland,Europe & Central Asia,High income,Male,1960,64.9
PRE,Pre-demographic dividend,,,Male,1960,37.54788403
PRI,Puerto Rico,Latin America & Caribbean,High income,Male,1960,66.084
PRK,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,Male,1960,48.424
PRT,Portugal,Europe & Central Asia,High income,Male,1960,60.086
PRY,Paraguay,Latin America & Caribbean,Upper middle income,Male,1960,61.862
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Male,1960,
PSS,Pacific island small states,,,Male,1960,51.92941646
PST,Post-demographic dividend,,,Male,1960,65.99302283
PYF,French Polynesia,East Asia & Pacific,High income,Male,1960,54.899
QAT,Qatar,Middle East & North Africa,High income,Male,1960,59.212
ROU,Romania,Europe & Central Asia,Upper middle income,Male,1960,63.86
RUS,Russian Federation,Europe & Central Asia,Upper middle income,Male,1960,62.067
RWA,Rwanda,Sub-Saharan Africa,Low income,Male,1960,40.701
SAS,South Asia,,,Male,1960,42.44673429
SAU,Saudi Arabia,Middle East & North Africa,High income,Male,1960,43.677
SDN,Sudan,Sub-Saharan Africa,Lower middle income,Male,1960,46.793
SEN,Senegal,Sub-Saharan Africa,Low income,Male,1960,37.466
SGP,Singapore,East Asia & Pacific,High income,Male,1960,62.293
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,Male,1960,48.65
SLE,Sierra Leone,Sub-Saharan Africa,Low income,Male,1960,28.773
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Male,1960,47.705
SMR,San Marino,Europe & Central Asia,High income,Male,1960,
SOM,Somalia,Sub-Saharan Africa,Low income,Male,1960,35.481
SRB,Serbia,Europe & Central Asia,Upper middle income,Male,1960,
SSA,Sub-Saharan Africa (excluding high income),,,Male,1960,38.98691999
SSD,South Sudan,Sub-Saharan Africa,Low income,Male,1960,30.371
SSF,Sub-Saharan Africa,,,Male,1960,38.98691999
SST,Small states,,,Male,1960,52.72602537
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,Male,1960,49.006
SUR,Suriname,Latin America & Caribbean,Upper middle income,Male,1960,57.905
SVK,Slovak Republic,Europe & Central Asia,High income,Male,1960,67.75
SVN,Slovenia,Europe & Central Asia,High income,Male,1960,66.1
SWE,Sweden,Europe & Central Asia,High income,Male,1960,71.23
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income,Male,1960,42.33
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,Male,1960,
SYC,Seychelles,Sub-Saharan Africa,High income,Male,1960,
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,Male,1960,50.671
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,Male,1960,
TCD,Chad,Sub-Saharan Africa,Low income,Male,1960,35.956
TEA,East Asia & Pacific (IDA & IBRD countries),,,Male,1960,44.19505437
TEC,Europe & Central Asia (IDA & IBRD countries),,,Male,1960,60.40991237
TGO,Togo,Sub-Saharan Africa,Low income,Male,1960,39.366
THA,Thailand,East Asia & Pacific,Upper middle income,Male,1960,52.452
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Male,1960,53.795
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Male,1960,50.966
TLA,Latin America & the Caribbean (IDA & IBRD countries),,,Male,1960,53.79602167
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Male,1960,33.182
TMN,Middle East & North Africa (IDA & IBRD countries),,,Male,1960,46.04657691
TON,Tonga,East Asia & Pacific,Upper middle income,Male,1960,61.026
TSA,South Asia (IDA & IBRD),,,Male,1960,42.44673429
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,Male,1960,38.98691999
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,Male,1960,61.081
TUN,Tunisia,Middle East & North Africa,Lower middle income,Male,1960,41.06
TUR,Turkey,Europe & Central Asia,Upper middle income,Male,1960,42.481
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Male,1960,
TZA,Tanzania,Sub-Saharan Africa,Low income,Male,1960,42.009
UGA,Uganda,Sub-Saharan Africa,Low income,Male,1960,42.446
UKR,Ukraine,Europe & Central Asia,Lower middle income,Male,1960,65.641
UMC,Upper middle income,,,Male,1960,47.82587084
URY,Uruguay,Latin America & Caribbean,High income,Male,1960,64.852
USA,United States,North America,High income,Male,1960,66.6
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Male,1960,55.116
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Male,1960,55.813
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,Male,1960,57.69
VGB,British Virgin Islands,Latin America & Caribbean,High income,Male,1960,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,Male,1960,64.699
VNM,Vietnam,East Asia & Pacific,Lower middle income,Male,1960,55.628
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Male,1960,45.067
WLD,World,,,Male,1960,50.74082265
WSM,Samoa,East Asia & Pacific,Upper middle income,Male,1960,46.75
XKX,Kosovo,Europe & Central Asia,Lower middle income,Male,1960,
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income,Male,1960,33.236
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Male,1960,50.096
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,Male,1960,43.622
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,Male,1960,49.981
ABW,Aruba,Latin America & Caribbean,High income,Female,1960,67.129
AFG,Afghanistan,South Asia,Low income,Female,1960,33.133
AGO,Angola,Sub-Saharan Africa,Lower middle income,Female,1960,34.737
ALB,Albania,Europe & Central Asia,Upper middle income,Female,1960,63.247
AND,Andorra,Europe & Central Asia,High income,Female,1960,
ARB,Arab World,,,Female,1960,47.9060562
ARE,United Arab Emirates,Middle East & North Africa,High income,Female,1960,55.031
ARG,Argentina,Latin America & Caribbean,Upper middle income,Female,1960,68.154
ARM,Armenia,Europe & Central Asia,Lower middle income,Female,1960,69.057
ASM,American Samoa,East Asia & Pacific,Upper middle income,Female,1960,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Female,1960,64.167
AUS,Australia,East Asia & Pacific,High income,Female,1960,74
AUT,Austria,Europe & Central Asia,High income,Female,1960,71.92
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Female,1960,64.168
BDI,Burundi,Sub-Saharan Africa,Low income,Female,1960,42.851
BEL,Belgium,Europe & Central Asia,High income,Female,1960,72.77
BEN,Benin,Sub-Saharan Africa,Low income,Female,1960,37.773
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Female,1960,35.553
BGD,Bangladesh,South Asia,Lower middle income,Female,1960,46.152
BGR,Bulgaria,Europe & Central Asia,Upper middle income,Female,1960,71.03
BHR,Bahrain,Middle East & North Africa,High income,Female,1960,55.392
BHS,"Bahamas, The",Latin America & Caribbean,High income,Female,1960,64.764
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Female,1960,61.941
BLR,Belarus,Europe & Central Asia,Upper middle income,Female,1960,70.518
BLZ,Belize,Latin America & Caribbean,Upper middle income,Female,1960,61.332
BMU,Bermuda,North America,High income,Female,1960,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,Female,1960,43.47
BRA,Brazil,Latin America & Caribbean,Upper middle income,Female,1960,56.081
BRB,Barbados,Latin America & Caribbean,High income,Female,1960,63.025
BRN,Brunei Darussalam,East Asia & Pacific,High income,Female,1960,63.976
BTN,Bhutan,South Asia,Lower middle income,Female,1960,35.053
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Female,1960,52.428
CAF,Central African Republic,Sub-Saharan Africa,Low income,Female,1960,38.094
CAN,Canada,North America,High income,Female,1960,74.15
CEB,Central Europe and the Baltics,,,Female,1960,70.36796121
CHE,Switzerland,Europe & Central Asia,High income,Female,1960,74.11
CHI,Channel Islands,Europe & Central Asia,High income,Female,1960,73.61
CHL,Chile,Latin America & Caribbean,High income,Female,1960,60.056
CHN,China,East Asia & Pacific,Upper middle income,Female,1960,45.191
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Female,1960,37.884
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Female,1960,42.878
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Female,1960,42.465
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Female,1960,49.857
COL,Colombia,Latin America & Caribbean,Upper middle income,Female,1960,58.47
COM,Comoros,Sub-Saharan Africa,Low income,Female,1960,42.999
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,Female,1960,50.078
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,Female,1960,61.996
CSS,Caribbean small states,,,Female,1960,64.24620221
CUB,Cuba,Latin America & Caribbean,Upper middle income,Female,1960,65.62
CUW,Curacao,Latin America & Caribbean,High income,Female,1960,
CYM,Cayman Islands,Latin America & Caribbean,High income,Female,1960,
CYP,Cyprus,Europe & Central Asia,High income,Female,1960,71.655
CZE,Czech Republic,Europe & Central Asia,High income,Female,1960,73.34
DEU,Germany,Europe & Central Asia,High income,Female,1960,71.997
DJI,Djibouti,Middle East & North Africa,Lower middle income,Female,1960,45.375
DMA,Dominica,Latin America & Caribbean,Upper middle income,Female,1960,
DNK,Denmark,Europe & Central Asia,High income,Female,1960,74
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Female,1960,53.367
DZA,Algeria,Middle East & North Africa,Upper middle income,Female,1960,46.865
EAP,East Asia & Pacific (excluding high income),,,Female,1960,47.4296314
EAR,Early-demographic dividend,,,Female,1960,45.69093915
EAS,East Asia & Pacific,,,Female,1960,50.34819274
ECA,Europe & Central Asia (excluding high income),,,Female,1960,67.07892688
ECS,Europe & Central Asia,,,Female,1960,70.14202315
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Female,1960,54.538
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Female,1960,49.265
EMU,Euro area,,,Female,1960,72.06378284
ERI,Eritrea,Sub-Saharan Africa,Low income,Female,1960,39.907
ESP,Spain,Europe & Central Asia,High income,Female,1960,71.66
EST,Estonia,Europe & Central Asia,High income,Female,1960,72.023
ETH,Ethiopia,Sub-Saharan Africa,Low income,Female,1960,39.909
EUU,European Union,,,Female,1960,72.01546049
FCS,Fragile and conflict affected situations,,,Female,1960,42.20635763
FIN,Finland,Europe & Central Asia,High income,Female,1960,72.4
FJI,Fiji,East Asia & Pacific,Upper middle income,Female,1960,58.038
FRA,France,Europe & Central Asia,High income,Female,1960,73.3
FRO,Faroe Islands,Europe & Central Asia,High income,Female,1960,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Female,1960,58.15
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Female,1960,41.182
GBR,United Kingdom,Europe & Central Asia,High income,Female,1960,74.2
GEO,Georgia,Europe & Central Asia,Lower middle income,Female,1960,67.365
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Female,1960,46.148
GIB,Gibraltar,Europe & Central Asia,High income,Female,1960,
GIN,Guinea,Sub-Saharan Africa,Low income,Female,1960,36.067
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Female,1960,33.293
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Female,1960,39.418
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Female,1960,38.285
GRC,Greece,Europe & Central Asia,High income,Female,1960,70.541
GRD,Grenada,Latin America & Caribbean,Upper middle income,Female,1960,61.709
GRL,Greenland,Europe & Central Asia,High income,Female,1960,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,Female,1960,47.354
GUM,Guam,East Asia & Pacific,High income,Female,1960,63.438
GUY,Guyana,Latin America & Caribbean,Upper middle income,Female,1960,62.936
HIC,High income,,,Female,1960,71.39979641
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Female,1960,70.692
HND,Honduras,Latin America & Caribbean,Lower middle income,Female,1960,48.039
HPC,Heavily indebted poor countries (HIPC),,,Female,1960,40.86605656
HRV,Croatia,Europe & Central Asia,Upper middle income,Female,1960,67.248
HTI,Haiti,Latin America & Caribbean,Low income,Female,1960,43.461
HUN,Hungary,Europe & Central Asia,High income,Female,1960,70.18
IBD,IBRD only,,,Female,1960,50.32408707
IBT,IDA & IBRD total,,,Female,1960,49.131818
IDA,IDA total,,,Female,1960,43.16792624
IDB,IDA blend,,,Female,1960,44.91588485
IDN,Indonesia,East Asia & Pacific,Lower middle income,Female,1960,50.055
IDX,IDA only,,,Female,1960,42.35364271
IMN,Isle of Man,Europe & Central Asia,High income,Female,1960,
IND,India,South Asia,Lower middle income,Female,1960,40.413
INX,Not classified,,,Female,1960,
IRL,Ireland,Europe & Central Asia,High income,Female,1960,71.707
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Female,1960,44.147
IRQ,Iraq,Middle East & North Africa,Upper middle income,Female,1960,47.561
ISL,Iceland,Europe & Central Asia,High income,Female,1960,75.81
ISR,Israel,Middle East & North Africa,High income,Female,1960,
ITA,Italy,Europe & Central Asia,High income,Female,1960,71.69
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Female,1960,65.985
JOR,Jordan,Middle East & North Africa,Lower middle income,Female,1960,52.926
JPN,Japan,East Asia & Pacific,High income,Female,1960,70.14
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Female,1960,63.761
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Female,1960,48.34
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Female,1960,60.451
KHM,Cambodia,East Asia & Pacific,Lower middle income,Female,1960,42.932
KIR,Kiribati,East Asia & Pacific,Lower middle income,Female,1960,51.443
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,Female,1960,
KOR,"Korea, Rep.",East Asia & Pacific,High income,Female,1960,55.509
KWT,Kuwait,Middle East & North Africa,High income,Female,1960,61.893
LAC,Latin America & Caribbean (excluding high income),,,Female,1960,57.55567218
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Female,1960,44.949
LBN,Lebanon,Middle East & North Africa,Upper middle income,Female,1960,65.081
LBR,Liberia,Sub-Saharan Africa,Low income,Female,1960,37.254
LBY,Libya,Middle East & North Africa,Upper middle income,Female,1960,43.893
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Female,1960,61.031
LCN,Latin America & Caribbean,,,Female,1960,57.99296835
LDC,Least developed countries: UN classification,,,Female,1960,41.44469687
LIC,Low income,,,Female,1960,40.51818394
LIE,Liechtenstein,Europe & Central Asia,High income,Female,1960,
LKA,Sri Lanka,South Asia,Lower middle income,Female,1960,62.241
LMC,Lower middle income,,,Female,1960,46.28425063
LMY,Low & middle income,,,Female,1960,48.84847093
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,Female,1960,48.225
LTE,Late-demographic dividend,,,Female,1960,52.6864585
LTU,Lithuania,Europe & Central Asia,High income,Female,1960,72.9
LUX,Luxembourg,Europe & Central Asia,High income,Female,1960,71.685
LVA,Latvia,Europe & Central Asia,High income,Female,1960,73.49
